# (1)t	# (2) P[4<--1](t)	# (3) P[4<--2](t)	# (4) P[4<--3](t)	# (5) P[4<--4](t)
1060.0	0.0	-0.4913711055	0.7169556111	0.0
1064.0	0.0	-0.4943743735	0.7201480273	0.0
1068.0	0.0	-0.497380125	0.7233405212	0.0
1072.0	0.0	-0.5003883281	0.7265330908	0.0
1076.0	0.0	-0.5033989512	0.7297257341	0.0
1080.0	0.0	-0.5064119632	0.7329184491	0.0
1084.0	0.0	-0.5094273336	0.736111234	0.0
1088.0	0.0	-0.5124450319	0.7393040869	0.0
1092.0	0.0	-0.5154650281	0.7424970061	0.0
1096.0	0.0	-0.5184872929	0.7456899898	0.0
1100.0	0.0	-0.5215117968	0.7488830364	0.0
1104.0	0.0	-0.5245385112	0.752076144	0.0
1108.0	0.0	-0.5275674074	0.7552693113	0.0
1112.0	0.0	-0.5305984575	0.7584625365	0.0
1116.0	0.0	-0.5336316335	0.7616558182	0.0
1120.0	0.0	-0.5366669082	0.7648491548	0.0
1124.0	0.0	-0.5397042544	0.768042545	0.0
1128.0	0.0	-0.5427436454	0.7712359873	0.0
1132.0	0.0	-0.5457850548	0.7744294804	0.0
1136.0	0.0	-0.5488284565	0.7776230229	0.0
1140.0	0.0	-0.5518738248	0.7808166135	0.0
1144.0	0.0	-0.5549211342	0.784010251	0.0
1148.0	0.0	-0.5579703597	0.7872039341	0.0
1152.0	0.0	-0.5610214765	0.7903976616	0.0
1156.0	0.0	-0.5640744601	0.7935914323	0.0
1160.0	0.0	-0.5671292863	0.7967852452	0.0
1164.0	0.0	-0.5701859313	0.7999790991	0.0
1168.0	0.0	-0.5732443716	0.8031729929	0.0
1172.0	0.0	-0.5763045839	0.8063669256	0.0
1176.0	0.0	-0.5793665451	0.8095608961	0.0
1180.0	0.0	-0.5824302328	0.8127549036	0.0
1184.0	0.0	-0.5854956244	0.8159489468	0.0
1188.0	0.0	-0.5885626978	0.8191430251	0.0
1192.0	0.0	-0.5916314313	0.8223371373	0.0
1196.0	0.0	-0.5947018034	0.8255312827	0.0
1200.0	0.0	-0.5977737926	0.8287254604	0.0
1204.0	0.0	-0.6008473781	0.8319196694	0.0
1208.0	0.0	-0.6039225391	0.835113909	0.0
1212.0	0.0	-0.6069992552	0.8383081784	0.0
1216.0	0.0	-0.610077506	0.8415024768	0.0
1220.0	0.0	-0.6131572718	0.8446968034	0.0
1224.0	0.0	-0.6162385327	0.8478911575	0.0
1228.0	0.0	-0.6193212694	0.8510855383	0.0
1232.0	0.0	-0.6224054627	0.8542799452	0.0
1236.0	0.0	-0.6254910935	0.8574743775	0.0
1240.0	0.0	-0.6285781432	0.8606688344	0.0
1244.0	0.0	-0.6316665933	0.8638633154	0.0
1248.0	0.0	-0.6347564257	0.8670578198	0.0
1252.0	0.0	-0.6378476222	0.870252347	0.0
1256.0	0.0	-0.6409401651	0.8734468964	0.0
1260.0	0.0	-0.6440340368	0.8766414674	0.0
1264.0	0.0	-0.6471292202	0.8798360594	0.0
1268.0	0.0	-0.6502256979	0.8830306719	0.0
1272.0	0.0	-0.6533234533	0.8862253044	0.0
1276.0	0.0	-0.6564224696	0.8894199563	0.0
1280.0	0.0	-0.6595227303	0.892614627	0.0
1284.0	0.0	-0.6626242193	0.8958093162	0.0
1288.0	0.0	-0.6657269204	0.8990040233	0.0
1292.0	0.0	-0.668830818	0.9021987478	0.0
1296.0	0.0	-0.6719358963	0.9053934893	0.0
1300.0	0.0	-0.67504214	0.9085882473	0.0
1304.0	0.0	-0.6781495338	0.9117830215	0.0
1308.0	0.0	-0.6812580627	0.9149778113	0.0
1312.0	0.0	-0.6843677119	0.9181726163	0.0
1316.0	0.0	-0.6874784667	0.9213674362	0.0
1320.0	0.0	-0.6905903127	0.9245622706	0.0
1324.0	0.0	-0.6937032357	0.927757119	0.0
1328.0	0.0	-0.6968172214	0.9309519812	0.0
1332.0	0.0	-0.6999322562	0.9341468567	0.0
1336.0	0.0	-0.7030483261	0.9373417452	0.0
1340.0	0.0	-0.7061654178	0.9405366463	0.0
1344.0	0.0	-0.7092835177	0.9437315597	0.0
1348.0	0.0	-0.7124026128	0.9469264851	0.0
1352.0	0.0	-0.71552269	0.9501214222	0.0
1356.0	0.0	-0.7186437364	0.9533163706	0.0
1360.0	0.0	-0.7217657394	0.9565113301	0.0
1364.0	0.0	-0.7248886865	0.9597063003	0.0
1368.0	0.0	-0.7280125652	0.962901281	0.0
1372.0	0.0	-0.7311373633	0.9660962719	0.0
1376.0	0.0	-0.7342630689	0.9692912728	0.0
1380.0	0.0	-0.73738967	0.9724862833	0.0
1384.0	0.0	-0.7405171549	0.9756813032	0.0
1388.0	0.0	-0.7436455121	0.9788763322	0.0
1392.0	0.0	-0.74677473	0.9820713702	0.0
1396.0	0.0	-0.7499047974	0.9852664168	0.0
1400.0	0.0	-0.7530357032	0.9884614719	0.0
1404.0	0.0	-0.7561674363	0.9916565352	0.0
1408.0	0.0	-0.7592999859	0.9948516065	0.0
1412.0	0.0	-0.7624333414	0.9980466856	0.0
1416.0	0.0	-0.7655674921	1.001241772	0.0
1420.0	0.0	-0.7687024276	1.004436866	0.0
1424.0	0.0	-0.7718381376	1.007631968	0.0
1428.0	0.0	-0.7749746119	1.010827076	0.0
1432.0	0.0	-0.7781118405	1.014022191	0.0
1436.0	0.0	-0.7812498136	1.017217312	0.0
1440.0	0.0	-0.7843885212	1.02041244	0.0
1444.0	0.0	-0.7875279539	1.023607575	0.0
1448.0	0.0	-0.790668102	1.026802715	0.0
1452.0	0.0	-0.7938089562	1.029997862	0.0
1456.0	0.0	-0.7969505071	1.033193014	0.0
1460.0	0.0	-0.8000927458	1.036388171	0.0
1464.0	0.0	-0.803235663	1.039583335	0.0
1468.0	0.0	-0.8063792499	1.042778503	0.0
1472.0	0.0	-0.8095234977	1.045973677	0.0
1476.0	0.0	-0.8126683977	1.049168856	0.0
1480.0	0.0	-0.8158139413	1.05236404	0.0
1484.0	0.0	-0.8189601201	1.055559228	0.0
1488.0	0.0	-0.8221069258	1.058754421	0.0
1492.0	0.0	-0.82525435	1.061949619	0.0
1496.0	0.0	-0.8284023846	1.065144821	0.0
1500.0	0.0	-0.8315510217	1.068340027	0.0
1504.0	0.0	-0.8347002532	1.071535238	0.0
1508.0	0.0	-0.8378500715	1.074730452	0.0
1512.0	0.0	-0.8410004687	1.077925671	0.0
1516.0	0.0	-0.8441514372	1.081120893	0.0
1520.0	0.0	-0.8473029695	1.084316119	0.0
1524.0	0.0	-0.8504550583	1.087511349	0.0
1528.0	0.0	-0.8536076961	1.090706582	0.0
1532.0	0.0	-0.8567608758	1.093901819	0.0
1536.0	0.0	-0.8599145902	1.097097059	0.0
1540.0	0.0	-0.8630688323	1.100292302	0.0
1544.0	0.0	-0.8662235952	1.103487549	0.0
1548.0	0.0	-0.8693788719	1.106682798	0.0
1552.0	0.0	-0.8725346558	1.10987805	0.0
1556.0	0.0	-0.87569094	1.113073306	0.0
1560.0	0.0	-0.8788477182	1.116268564	0.0
1564.0	0.0	-0.8820049836	1.119463825	0.0
1568.0	0.0	-0.88516273	1.122659089	0.0
1572.0	0.0	-0.888320951	1.125854355	0.0
1576.0	0.0	-0.8914796403	1.129049624	0.0
1580.0	0.0	-0.8946387918	1.132244895	0.0
1584.0	0.0	-0.8977983994	1.135440169	0.0
1588.0	0.0	-0.9009584571	1.138635445	0.0
1592.0	0.0	-0.9041189588	1.141830723	0.0
1596.0	0.0	-0.9072798989	1.145026003	0.0
1600.0	0.0	-0.9104412715	1.148221286	0.0
1604.0	0.0	-0.9136030709	1.151416571	0.0
1608.0	0.0	-0.9167652915	1.154611857	0.0
1612.0	0.0	-0.9199279277	1.157807146	0.0
1616.0	0.0	-0.923090974	1.161002437	0.0
1620.0	0.0	-0.9262544252	1.164197729	0.0
1624.0	0.0	-0.9294182757	1.167393023	0.0
1628.0	0.0	-0.9325825203	1.170588319	0.0
1632.0	0.0	-0.9357471539	1.173783617	0.0
1636.0	0.0	-0.9389121713	1.176978916	0.0
1640.0	0.0	-0.9420775675	1.180174217	0.0
1644.0	0.0	-0.9452433374	1.18336952	0.0
1648.0	0.0	-0.9484094762	1.186564824	0.0
1652.0	0.0	-0.9515759789	1.189760129	0.0
1656.0	0.0	-0.9547428408	1.192955436	0.0
1660.0	0.0	-0.9579100571	1.196150744	0.0
1664.0	0.0	-0.9610776232	1.199346054	0.0
1668.0	0.0	-0.9642455343	1.202541365	0.0
1672.0	0.0	-0.9674137861	1.205736677	0.0
1676.0	0.0	-0.9705823739	1.208931991	0.0
1680.0	0.0	-0.9737512934	1.212127306	0.0
1684.0	0.0	-0.9769205402	1.215322622	0.0
1688.0	0.0	-0.9800901099	1.218517939	0.0
1692.0	0.0	-0.9832599983	1.221713257	0.0
1696.0	0.0	-0.9864302012	1.224908576	0.0
1700.0	0.0	-0.9896007145	1.228103896	0.0
1704.0	0.0	-0.9927715339	1.231299217	0.0
1708.0	0.0	-0.9959426556	1.23449454	0.0
1712.0	0.0	-0.9991140754	1.237689863	0.0
1716.0	0.0	-1.00228579	1.240885187	0.0
1720.0	0.0	-1.005457794	1.244080512	0.0
1724.0	0.0	-1.008630085	1.247275838	0.0
1728.0	0.0	-1.011802659	1.250471164	0.0
1732.0	0.0	-1.014975512	1.253666492	0.0
1736.0	0.0	-1.01814864	1.25686182	0.0
1740.0	0.0	-1.02132204	1.260057149	0.0
1744.0	0.0	-1.024495708	1.263252479	0.0
1748.0	0.0	-1.02766964	1.266447809	0.0
1752.0	0.0	-1.030843834	1.269643141	0.0
1756.0	0.0	-1.034018285	1.272838473	0.0
1760.0	0.0	-1.037192991	1.276033805	0.0
1764.0	0.0	-1.040367947	1.279229138	0.0
1768.0	0.0	-1.043543151	1.282424472	0.0
1772.0	0.0	-1.046718599	1.285619806	0.0
1776.0	0.0	-1.049894289	1.288815141	0.0
1780.0	0.0	-1.053070216	1.292010477	0.0
1784.0	0.0	-1.056246378	1.295205813	0.0
1788.0	0.0	-1.059422771	1.298401149	0.0
1792.0	0.0	-1.062599393	1.301596487	0.0
1796.0	0.0	-1.065776241	1.304791824	0.0
1800.0	0.0	-1.068953311	1.307987162	0.0
1804.0	0.0	-1.072130601	1.311182501	0.0
1808.0	0.0	-1.075308107	1.31437784	0.0
1812.0	0.0	-1.078485828	1.317573179	0.0
1816.0	0.0	-1.081663759	1.320768519	0.0
1820.0	0.0	-1.084841899	1.323963859	0.0
1824.0	0.0	-1.088020244	1.327159199	0.0
1828.0	0.0	-1.091198792	1.33035454	0.0
1832.0	0.0	-1.09437754	1.333549881	0.0
1836.0	0.0	-1.097556485	1.336745223	0.0
1840.0	0.0	-1.100735625	1.339940565	0.0
1844.0	0.0	-1.103914958	1.343135907	0.0
1848.0	0.0	-1.10709448	1.34633125	0.0
1852.0	0.0	-1.110274189	1.349526593	0.0
1856.0	0.0	-1.113454083	1.352721936	0.0
1860.0	0.0	-1.11663416	1.355917279	0.0
1864.0	0.0	-1.119814416	1.359112623	0.0
1868.0	0.0	-1.12299485	1.362307967	0.0
1872.0	0.0	-1.126175459	1.365503311	0.0
1876.0	0.0	-1.129356241	1.368698655	0.0
1880.0	0.0	-1.132537193	1.371894	0.0
1884.0	0.0	-1.135718314	1.375089345	0.0
1888.0	0.0	-1.1388996	1.37828469	0.0
1892.0	0.0	-1.142081051	1.381480035	0.0
1896.0	0.0	-1.145262663	1.384675381	0.0
1900.0	0.0	-1.148444435	1.387870726	0.0
1904.0	0.0	-1.151626364	1.391066072	0.0
1908.0	0.0	-1.154808449	1.394261418	0.0
1912.0	0.0	-1.157990687	1.397456764	0.0
1916.0	0.0	-1.161173076	1.40065211	0.0
1920.0	0.0	-1.164355614	1.403847457	0.0
1924.0	0.0	-1.1675383	1.407042803	0.0
1928.0	0.0	-1.170721131	1.41023815	0.0
1932.0	0.0	-1.173904106	1.413433496	0.0
1936.0	0.0	-1.177087222	1.416628843	0.0
1940.0	0.0	-1.180270478	1.41982419	0.0
1944.0	0.0	-1.183453871	1.423019537	0.0
1948.0	0.0	-1.186637401	1.426214885	0.0
1952.0	0.0	-1.189821064	1.429410232	0.0
1956.0	0.0	-1.193004861	1.432605579	0.0
1960.0	0.0	-1.196188787	1.435800927	0.0
1964.0	0.0	-1.199372843	1.438996274	0.0
1968.0	0.0	-1.202557026	1.442191622	0.0
1972.0	0.0	-1.205741334	1.445386969	0.0
1976.0	0.0	-1.208925767	1.448582317	0.0
1980.0	0.0	-1.212110321	1.451777665	0.0
1984.0	0.0	-1.215294997	1.454973013	0.0
1988.0	0.0	-1.218479791	1.45816836	0.0
1992.0	0.0	-1.221664703	1.461363708	0.0
1996.0	0.0	-1.22484973	1.464559056	0.0
2000.0	0.0	-1.228034872	1.467754404	0.0
2004.0	0.0	-1.231220127	1.470949752	0.0
2008.0	0.0	-1.234405493	1.4741451	0.0
2012.0	0.0	-1.237590969	1.477340448	0.0
2016.0	0.0	-1.240776553	1.480535796	0.0
2020.0	0.0	-1.243962245	1.483731144	0.0
2024.0	0.0	-1.247148042	1.486926492	0.0
2028.0	0.0	-1.250333943	1.49012184	0.0
2032.0	0.0	-1.253519947	1.493317188	0.0
