#t	#1	#2	#3	#4
17612.0	-4.117836827587863e-12	0.0	7.356261373667815e-12	-3.433898614428794e-12
17616.0	-4.119672432527532e-12	0.0	7.359737351313892e-12	-3.435577459584297e-12
17620.0	-4.121508443248211e-12	0.0	7.363216690640477e-12	-3.4372567104865228e-12
17624.0	-4.1233448608536004e-12	0.0	7.366694909406893e-12	-3.438936368228231e-12
17628.0	-4.12518168645229e-12	0.0	7.370173128173309e-12	-3.440616433997873e-12
17632.0	-4.12701892118598e-12	0.0	7.373653588060063e-12	-3.4422969089481565e-12
17636.0	-4.128856566158345e-12	0.0	7.377136289067158e-12	-3.4439777941031073e-12
17640.0	-4.130694622488329e-12	0.0	7.38061899007425e-12	-3.445659090570895e-12
17644.0	-4.132533091382097e-12	0.0	7.384100570521173e-12	-3.4473407995583144e-12
17648.0	-4.134371973677673e-12	0.0	7.387582150968097e-12	-3.44902292200581e-12
17652.0	-4.136211269943424e-12	0.0	7.391064851975192e-12	-3.4507054584697226e-12
17656.0	-4.138050980776872e-12	0.0	7.394549794102625e-12	-3.452388409456671e-12
17660.0	-4.1398911068689675e-12	0.0	7.398036977350397e-12	-3.4540717756697132e-12
17664.0	-4.141731648835238e-12	0.0	7.401519678357491e-12	-3.4557555577246864e-12
17668.0	-4.1435726067218415e-12	0.0	7.405002379364586e-12	-3.45743975566819e-12
17672.0	-4.145413980330951e-12	0.0	7.40848508037168e-12	-3.459124369303007e-12
17676.0	-4.147255769504552e-12	0.0	7.411958816897418e-12	-3.460809398471435e-12
17680.0	-4.149097973081537e-12	0.0	7.415426950622307e-12	-3.4624948420127897e-12
17684.0	-4.150940588890947e-12	0.0	7.418900687148044e-12	-3.4641806977568553e-12
17688.0	-4.152783614984406e-12	0.0	7.422387870395816e-12	-3.4658669637445937e-12
17692.0	-4.154627051010015e-12	0.0	7.425877294763928e-12	-3.467553639613244e-12
17696.0	-4.156470897643361e-12	0.0	7.429363357451529e-12	-3.4692407260501844e-12
17700.0	-4.15831515485066e-12	0.0	7.432846058458623e-12	-3.470928223022344e-12
17704.0	-4.160159821846878e-12	0.0	7.43632315666487e-12	-3.4726161297341392e-12
17708.0	-4.1620048969698054e-12	0.0	7.439794652070268e-12	-3.4743044445354995e-12
17712.0	-4.16385037761937e-12	0.0	7.443267268035836e-12	-3.4759931648381983e-12
17716.0	-4.165696261083194e-12	0.0	7.44674884848276e-12	-3.4776822879302602e-12
17720.0	-4.167542545725345e-12	0.0	7.450237152290703e-12	-3.4793718121649985e-12
17724.0	-4.16938923133949e-12	0.0	7.453724335538474e-12	-3.4810617373252612e-12
17728.0	-4.171236317965939e-12	0.0	7.457210398226077e-12	-3.4827520634633038e-12
17732.0	-4.173083805289765e-12	0.0	7.46069870203402e-12	-3.4844427902759976e-12
17736.0	-4.174931693019727e-12	0.0	7.464184764721622e-12	-3.4861339174613187e-12
17740.0	-4.1767799805042685e-12	0.0	7.467671947969394e-12	-3.4878254444585425e-12
17744.0	-4.17862866690716e-12	0.0	7.471166975138354e-12	-3.4895173704306793e-12
17748.0	-4.1804777523329675e-12	0.0	7.474665363987822e-12	-3.4912096954815985e-12
17752.0	-4.182327237796196e-12	0.0	7.478162632277118e-12	-3.4929024207265567e-12
17756.0	-4.184177124126227e-12	0.0	7.481662141686755e-12	-3.494595546891267e-12
17760.0	-4.186027411736418e-12	0.0	7.485163892216733e-12	-3.496289074286803e-12
17764.0	-4.187878101314042e-12	0.0	7.488670124987387e-12	-3.4979830036125774e-12
17768.0	-4.1897291939525844e-12	0.0	7.49218196055889e-12	-3.499677335962629e-12
17772.0	-4.191580691329887e-12	0.0	7.495698278371072e-12	-3.5013720730040023e-12
17776.0	-4.193432595906423e-12	0.0	7.499217957863763e-12	-3.5030672171979884e-12
17780.0	-4.195284910602816e-12	0.0	7.502728672875097e-12	-3.5047627714771772e-12
17784.0	-4.197137637359238e-12	0.0	7.506225941164395e-12	-3.5064587378725516e-12
17788.0	-4.198990775963723e-12	0.0	7.509716486092677e-12	-3.508155116250527e-12
17792.0	-4.200844324625298e-12	0.0	7.513208151581127e-12	-3.509851904739347e-12
17796.0	-4.2026982809180694e-12	0.0	7.516705419870426e-12	-3.5115491008220643e-12
17800.0	-4.204552642926248e-12	0.0	7.520209411520742e-12	-3.513246702662499e-12
17804.0	-4.206407409995722e-12	0.0	7.523719005971906e-12	-3.514944709696585e-12
17808.0	-4.208262582385043e-12	0.0	7.527228600423067e-12	-3.5166431221925987e-12
17812.0	-4.210118160595914e-12	0.0	7.530735953753893e-12	-3.5183419405600045e-12
17816.0	-4.211974144646263e-12	0.0	7.534241065964378e-12	-3.520041164804796e-12
17820.0	-4.213830534037271e-12	0.0	7.537743937054525e-12	-3.5217407944276695e-12
17824.0	-4.215687328087404e-12	0.0	7.541246808144672e-12	-3.523440828667599e-12
17828.0	-4.217544526018214e-12	0.0	7.544751920355158e-12	-3.525141266757989e-12
17832.0	-4.219402127130072e-12	0.0	7.548260394246152e-12	-3.5268421079883267e-12
17836.0	-4.2212601309568634e-12	0.0	7.551774470937996e-12	-3.5285433518931136e-12
17840.0	-4.2231185377734545e-12	0.0	7.555298632671364e-12	-3.5302449987479896e-12
17844.0	-4.224977348881967e-12	0.0	7.55883063832592e-12	-3.531947049844525e-12
17848.0	-4.226836566595093e-12	0.0	7.562364885100816e-12	-3.5336495074962743e-12
17852.0	-4.228696193539328e-12	0.0	7.565898011315542e-12	-3.5353523744205968e-12
17856.0	-4.230556232268813e-12	0.0	7.569433378650606e-12	-3.5370556531707963e-12
17860.0	-4.232416685328958e-12	0.0	7.57296986654584e-12	-3.5387593462130922e-12
17864.0	-4.23427755504632e-12	0.0	7.576498510519885e-12	-3.540463455874726e-12
17868.0	-4.236138842899989e-12	0.0	7.580018190012576e-12	-3.542167983623711e-12
17872.0	-4.238000548581502e-12	0.0	7.583535628384927e-12	-3.543872929152312e-12
17876.0	-4.239862670829305e-12	0.0	7.587058669558126e-12	-3.5455782911999524e-12
17880.0	-4.241725208770787e-12	0.0	7.590585072411835e-12	-3.5472840688946588e-12
17884.0	-4.243588162260151e-12	0.0	7.594108113585034e-12	-3.5489902620911013e-12
17888.0	-4.245451530962315e-12	0.0	7.597632275318402e-12	-3.550696870545338e-12
17892.0	-4.247315314243776e-12	0.0	7.601166522093297e-12	-3.5524038937138215e-12
17896.0	-4.2491795125535575e-12	0.0	7.60470749222921e-12	-3.554111332043888e-12
17900.0	-4.2510441275087225e-12	0.0	7.608243980124444e-12	-3.5558191870718605e-12
17904.0	-4.252909160499268e-12	0.0	7.611769262417983e-12	-3.557527460187201e-12
17908.0	-4.254774611202188e-12	0.0	7.615288941910674e-12	-3.5592361511454253e-12
