#t	#1	#2	#3	#4	#5	#6	#7
719.0	2.893354399667675e-5	-1.4619531178653837e-5	9.115492028659904e-5	0.0	1.7704793341800147e-5	7.21704391713334e-6	-1.7498039109470075e-5
720.0	2.8900492352712824e-5	-1.4603021145373115e-5	9.10252822137769e-5	0.0	1.7702153073990025e-5	7.206848708431232e-6	-1.7466350214859796e-5
721.0	2.886749064197073e-5	-1.4586539911270052e-5	9.089590122586874e-5	0.0	1.769941862406256e-5	7.1967008363163635e-6	-1.7434711082544863e-5
722.0	2.8834538240162345e-5	-1.4570087570075536e-5	9.076677656585243e-5	0.0	1.7696589351807612e-5	7.186599930545089e-6	-1.740312203378908e-5
723.0	2.8801634516286553e-5	-1.4553664189838334e-5	9.063790743985742e-5	0.0	1.7693664710511563e-5	7.1765455748906435e-6	-1.7371583413351524e-5
724.0	2.8768778833893377e-5	-1.4537269813434832e-5	9.050929301857296e-5	0.0	1.7690644246147954e-5	7.166537308925965e-6	-1.7340095588116273e-5
725.0	2.8735970552326443e-5	-1.4520904459112524e-5	9.038093243869139e-5	0.0	1.768752759641037e-5	7.1565746298443965e-6	-1.7308658945697213e-5
726.0	2.8703209027940836e-5	-1.450456812106495e-5	9.025282480437182e-5	0.0	1.7684314489595487e-5	7.146656994314659e-6	-1.7277273893042074e-5
727.0	2.86704936152959e-5	-1.4488260770036238e-5	9.012496918874172e-5	0.0	1.7681004743352784e-5	7.136783820364978e-6	-1.7245940855053282e-5
728.0	2.8637823668321543e-5	-1.4471982353954295e-5	8.999736463541352e-5	0.0	1.7677598263281966e-5	7.126954489294867e-6	-1.7214660273187238e-5
729.0	2.8605198541455654e-5	-1.445573279858943e-5	8.987001016002636e-5	0.0	1.767409504140748e-5	7.117168347606908e-6	-1.718343260407538e-5
730.0	2.8572617590751902e-5	-1.4439512008237467e-5	8.974290475179213e-5	0.0	1.7670495154530522e-5	7.107424708957523e-6	-1.7152258318144396e-5
731.0	2.854008017495744e-5	-1.4423319866425628e-5	8.961604737506568e-5	0.0	1.766679876244106e-5	7.0977228561214185e-6	-1.712113789823853e-5
732.0	2.850758565655682e-5	-1.4407156236638623e-5	8.948943697092805e-5	0.0	1.7663006106053915e-5	7.088062042965813e-6	-1.709007183827496e-5
733.0	2.8475133402783172e-5	-1.4391020963062429e-5	8.936307245875763e-5	0.0	1.7659117505406716e-5	7.078441496428826e-6	-1.705906064188713e-5
734.0	2.844272278659516e-5	-1.437491387134641e-5	8.923695273782133e-5	0.0	1.7655133357573546e-5	7.068860418502373e-6	-1.702810482109621e-5
735.0	2.841035318761842e-5	-1.4358834769379215e-5	8.911107668885735e-5	0.0	1.7651054134484467e-5	7.0593179882119335e-6	-1.6997204894998283e-5
736.0	2.8378023993050783e-5	-1.4342783448078067e-5	8.89854431756573e-5	0.0	1.7646880380649645e-5	7.049813363592031e-6	-1.696636138846635e-5
737.0	2.83457345985313e-5	-1.4326759682190001e-5	8.886005104664728e-5	0.0	1.764261271082015e-5	7.040345683653089e-6	-1.6935574830880083e-5
738.0	2.8313484408970884e-5	-1.4310763231102e-5	8.873489913644657e-5	0.0	1.7638251807559063e-5	7.03091407033671e-6	-1.690484575486485e-5
739.0	2.8281272839344954e-5	-1.4294793839659114e-5	8.860998626743113e-5	0.0	1.7633798418748754e-5	7.021517630454471e-6	-1.6874174695071232e-5
740.0	2.8249099315447234e-5	-1.4278851238988665e-5	8.848531125127373e-5	0.0	1.7629253355050843e-5	7.012155457608278e-6	-1.6843562186967448e-5
741.0	2.821696327460517e-5	-1.4262935147328983e-5	8.836087289047164e-5	0.0	1.7624617487294013e-5	7.002826634090405e-6	-1.6813008765662797e-5
742.0	2.8184864166355407e-5	-1.4247045270860581e-5	8.823666997984901e-5	0.0	1.7619891743818008e-5	6.993530232757637e-6	-1.6782514964761524e-5
743.0	2.8152801453079633e-5	-1.4231181304539229e-5	8.811270130804927e-5	0.0	1.761507710779403e-5	6.9842653188790135e-6	-1.6752081315239964e-5
744.0	2.812077461060119e-5	-1.4215342932928325e-5	8.798896565899722e-5	0.0	1.761017461447643e-5	6.9750309519537916e-6	-1.672170834436508e-5
