# (1)t	# (2) P[5<--1](t)	# (3) P[5<--2](t)	# (4) P[5<--3](t)	# (5) P[5<--4](t)	# (6) P[5<--5](t)	# (7) P[5<--6](t)	# (8) P[5<--7](t)
109.0	0.005661242524	0.0001577985748	-0.0003007735579	0.002994788856	0.0	0.008688765706	3.167761983e-5
110.0	0.005662452875	0.0001570469274	-0.0003008362506	0.003040739827	0.0	0.008709844062	3.248787582e-5
111.0	0.005663797736	0.0001562457908	-0.0003007879811	0.003084501301	0.0	0.008728803278	3.327761175e-5
112.0	0.005665357854	0.0001553982908	-0.0003006347061	0.003126044304	0.0	0.008745816983	3.404617846e-5
113.0	0.005667211597	0.0001545075343	-0.0003003824454	0.003165348835	0.0	0.008761063387	3.479301481e-5
114.0	0.005669434806	0.0001535766008	-0.0003000372593	0.003202403815	0.0	0.008774724693	3.551764767e-5
115.0	0.005672100654	0.0001526085356	-0.0002996052264	0.003237206995	0.0	0.0087869865	3.621969158e-5
116.0	0.005675279526	0.0001516063429	-0.0002990924239	0.003269764818	0.0	0.008798037195	3.689884805e-5
117.0	0.005679038902	0.000150572979	-0.000298504907	0.003300092235	0.0	0.008808067346	3.755490449e-5
118.0	0.005683443251	0.0001495113468	-0.0002978486913	0.003328212494	0.0	0.008817269084	3.818773286e-5
119.0	0.005688553947	0.0001484242898	-0.0002971297353	0.003354156871	0.0	0.008825835493	3.879728805e-5
120.0	0.005694429183	0.0001473145873	-0.0002963539242	0.003377964385	0.0	0.008833959996	3.938360589e-5
121.0	0.005701123906	0.0001461849497	-0.0002955270551	0.003399681469	0.0	0.008841835746	3.994680097e-5
122.0	0.005708689756	0.0001450380139	-0.0002946548233	0.003419361615	0.0	0.008849655025	4.048706422e-5
123.0	0.005717175025	0.0001438763398	-0.0002937428096	0.003437064989	0.0	0.00885760865	4.100466017e-5
124.0	0.005726624613	0.0001427024071	-0.0002927964686	0.003452858023	0.0	0.008865885391	4.149992416e-5
