#t	#1	#2	#3	#4	#5	#6	#7
697.0	0.4251381531127408	0.0	-0.20612015139739434	0.014863534961846553	0.00014573422248473356	-0.03652510699454353	0.005611332393188342
698.0	0.425205622370053	0.0	-0.20632338040457748	0.01487851593175623	0.00014610325926735224	-0.03655788271829481	0.00561749672529169
699.0	0.425272964051701	0.0	-0.20652637539761576	0.014893479847340208	0.00014647191853673174	-0.036590619025487894	0.005623654119222205
700.0	0.42534018155381925	0.0	-0.20672913666405757	0.014908426728693873	0.0001468402003324531	-0.03662331597839584	0.005629804580347227
701.0	0.4254072782865017	0.0	-0.20693166449582556	0.014923356596598344	0.00014720810467440938	-0.036655973639882294	0.005635948114370368
702.0	0.4254742576672139	0.0	-0.2071339591890328	0.014938269472495087	0.00014757563156396803	-0.03668859207336267	0.00564208472732387
703.0	0.42554112311435865	0.0	-0.20733602104379517	0.014953165378459954	0.00014794278098513762	-0.036721171342765126	0.00564821442556056
704.0	0.4256078780410031	0.0	-0.2075378503640411	0.014968044337176687	0.00014830955290573704	-0.0367537115124915	0.0056543372157454265
705.0	0.42567452584877474	0.0	-0.20773944745731812	0.014982906371909957	0.00014867594727856407	-0.03678621264737813	0.005660453104846819
706.0	0.42574106992193383	0.0	-0.20794081263459765	0.014997751506477995	0.00014904196404256215	-0.03681867481265678	0.00566656210012733
707.0	0.42580751362162755	0.0	-0.20814194621007762	0.015012579765224887	0.00014940760312398224	-0.03685109807391562	0.005672664209134353
708.0	0.4258738602803332	0.0	-0.20834284850098386	0.015027391172992573	0.00014977286443753861	-0.03688348249706046	0.005678759439690364
709.0	0.42594011319649483	0.0	-0.20854351982737046	0.015042185755092636	0.00015013774788755598	-0.03691582814827614	0.005684847799882941
710.0	0.42600627562935917	0.0	-0.20874396051191937	0.015056963537277906	0.00015050225336910597	-0.03694813509398832	0.0056909292980545445
711.0	0.4260723507940144	0.0	-0.20894417087974004	0.015071724545713972	0.0001508663807691319	-0.03698040340082558	0.005697003942792098
712.0	0.42613834185663696	0.0	-0.20914415125816882	0.015086468806950621	0.0001512301299675588	-0.03701263313558201	0.0057030717429163704
713.0	0.4262042519299488	0.0	-0.20934390197656932	0.015101196347893291	0.00015159350083838828	-0.03704482436518024	0.005709132707471208
714.0	0.4262700840688887	0.0	-0.2095434233661332	0.01511590719577456	0.0001519564932507754	-0.03707697715663508	0.005715186845712619
715.0	0.42633584126650026	0.0	-0.20974271575968256	0.015130601378125752	0.00015231910707008697	-0.03710909157701772	0.005721234167097755
716.0	0.4264015264500381	0.0	-0.20994177949147352	0.015145278922748695	0.00015268134215893917	-0.03714116769342062	0.005727274681273792
717.0	0.4264671424772949	0.0	-0.21014061489700195	0.01515993985768766	0.00015304319837821314	-0.03717320557292304	0.005733308398066745
718.0	0.42653269213314937	0.0	-0.21033922231281127	0.015174584211201575	0.00015340467558804763	-0.03720520528255743	0.005739335327470244
719.0	0.4265981781263369	0.0	-0.21053760207630265	0.015189212011736513	0.00015376577364880676	-0.037237166889276474	0.005745355479634279
720.0	0.4266636030864426	0.0	-0.21073575452554813	0.015203823287898528	0.0001541264924220224	-0.03726909045992111	0.005751368864853942
721.0	0.42672896956111683	0.0	-0.21093367999910667	0.015218418068426848	0.00015448683177130942	-0.03730097606118931	0.0057573754935581894
722.0	0.42679428001351266	0.0	-0.21113137883584357	0.01523299638216752	0.00015484679156325338	-0.03733282375960581	0.005763375376298646
